Category,Variable,Title,Value,Slide,Description
Potential Integrations,{{PI_T3_4}},Tier 3 Potential Integration #4 Name,Not available via MCP,19,Technology name of tier 3 potential integration #4 (by service-account activity)
Potential Integrations,{{PI_T3_4_FA}},Tier 3 Potential Integration #4 First Seen,Not available via MCP,19,First-added date for tier 3 potential integration #4
Potential Integrations,{{PI_T3_4_LA}},Tier 3 Potential Integration #4 Last Seen,Not available via MCP,19,Latest-added date for tier 3 potential integration #4
Potential Integrations,{{PI_T3_4_SA}},Tier 3 Potential Integration #4 Service Accounts,Not available via MCP,19,Service-account count for tier 3 potential integration #4
Potential Integrations,{{PI_T3_5}},Tier 3 Potential Integration #5 Name,Not available via MCP,19,Technology name of tier 3 potential integration #5 (by service-account activity)
Potential Integrations,{{PI_T3_5_FA}},Tier 3 Potential Integration #5 First Seen,Not available via MCP,19,First-added date for tier 3 potential integration #5
Potential Integrations,{{PI_T3_5_LA}},Tier 3 Potential Integration #5 Last Seen,Not available via MCP,19,Latest-added date for tier 3 potential integration #5
Potential Integrations,{{PI_T3_5_SA}},Tier 3 Potential Integration #5 Service Accounts,Not available via MCP,19,Service-account count for tier 3 potential integration #5
License Usage,{{LU_ADV}},Advanced License Usage,1500 / 3000 (50%),4,Wiz Advanced workloads used vs licensed quota
License Usage,{{LU_CODE}},Wiz Code License Usage (Developers),N/A,4,Developers consuming the Wiz Code license
License Usage,{{LU_DEFEND}},Wiz Defend License Usage (Ingestion),N/A,4,Wiz Defend ingestion units consumed
License Usage,{{LU_SENSOR}},Wiz Sensor License Usage,80%,4,Deployed runtime sensor coverage
Workload Scan Failures,{{WS_TF}},Total Workload Scan Failures,12000,5,Total failed workload scans across all resource types
Workload Scan Failures,{{WS_S1}},Top Failure Reason,Missing permissions: ec2:CopySnapshot (300),5,#1 workload scan failure reason by count (SECURITY_TOOL_SCAN)
Workload Scan Failures,{{WS_S2}},Top Failure Message #2,"Unable to locate registry: gcr.io/example-release-a (210)",5,#2 workload scan failure reason by count
Workload Scan Failures,{{WS_S3}},Top Failure Message #3,"Unable to locate registry: gcr.io/example-release-b (120)",5,#3 workload scan failure reason by count
